message_key,kafka_timestamp,event_id,transaction_id,customer_id,product_id,customer_name,product_name,category,city,store,quantity,unit_price,total_amount,stock_actual,stock_minimo,risk_score,is_risk,event_timestamp,processing_timestamp,batch_id
TRX-00085593,2026-05-13 15:22:10.071,EVT-000261,TRX-00085593,CLI-017203,PROD-004680,Mirta,Pelota,Deportes,Cusco,Open Plaza,5,354.43,1772.15,419,34,0.64,False,2026-05-13 15:22:10,2026-05-13 15:22:20.008,4
TRX-00055252,2026-05-13 15:22:10.173,EVT-000262,TRX-00055252,CLI-009556,PROD-002165,Charo,Polo,Ropa,Lima,Real Plaza,2,132.61,265.22,355,24,0.44,False,2026-05-13 15:22:10,2026-05-13 15:22:20.008,4
TRX-00014351,2026-05-13 15:22:10.275,EVT-000263,TRX-00014351,CLI-010040,PROD-004685,Elisa,Pelota,Deportes,Cusco,Real Plaza,3,279.72,839.16,269,25,0.17,False,2026-05-13 15:22:10,2026-05-13 15:22:20.008,4
TRX-00098610,2026-05-13 15:22:10.380,EVT-000264,TRX-00098610,CLI-003880,PROD-003436,Juliana,Lámpara,Hogar,Cusco,Jockey Plaza,4,397.09,1588.36,282,27,0.4,False,2026-05-13 15:22:10,2026-05-13 15:22:20.008,4
TRX-00043783,2026-05-13 15:22:10.484,EVT-000265,TRX-00043783,CLI-015102,PROD-003684,Iván,Botas,Calzado,Piura,Mega Plaza,5,151.42,757.1,374,21,0.06,False,2026-05-13 15:22:10,2026-05-13 15:22:20.008,4
TRX-00033997,2026-05-13 15:22:10.587,EVT-000266,TRX-00033997,CLI-009696,PROD-003994,Jesusa,Guantes,Deportes,Lima,Mall Aventura,3,277.81,833.43,206,21,0.42,False,2026-05-13 15:22:10,2026-05-13 15:22:20.008,4
TRX-00015616,2026-05-13 15:22:10.692,EVT-000267,TRX-00015616,CLI-005909,PROD-003813,Domingo,Sandalias,Calzado,Cusco,Jockey Plaza,5,573.96,2869.8,282,10,0.43,False,2026-05-13 15:22:10,2026-05-13 15:22:20.008,4
TRX-00079248,2026-05-13 15:22:10.795,EVT-000268,TRX-00079248,CLI-008390,PROD-000872,Eligia,Reloj,Accesorios,Lima,Real Plaza,1,697.65,697.65,126,18,0.36,False,2026-05-13 15:22:10,2026-05-13 15:22:20.008,4
TRX-00071148,2026-05-13 15:22:10.899,EVT-000269,TRX-00071148,CLI-009642,PROD-001187,Luna,Pelota,Deportes,Chiclayo,Open Plaza,5,697.42,3487.1,361,14,0.68,False,2026-05-13 15:22:10,2026-05-13 15:22:20.008,4
TRX-00028132,2026-05-13 15:22:11.003,EVT-000270,TRX-00028132,CLI-002349,PROD-000149,Eleuterio,Bicicleta,Deportes,Cusco,Mall Aventura,2,192.49,384.98,488,20,0.28,False,2026-05-13 15:22:11,2026-05-13 15:22:20.008,4
