message_key,kafka_timestamp,event_id,transaction_id,customer_id,product_id,customer_name,product_name,category,city,store,quantity,unit_price,total_amount,stock_actual,stock_minimo,risk_score,is_risk,event_timestamp,processing_timestamp,batch_id
TRX-00077068,2026-05-13 15:22:30.051,EVT-000455,TRX-00077068,CLI-005901,PROD-002731,Alfonso,Silla,Hogar,Chiclayo,Real Plaza,5,739.09,3695.45,367,34,0.45,False,2026-05-13 15:22:30,2026-05-13 15:22:40.006,6
TRX-00038985,2026-05-13 15:22:30.155,EVT-000456,TRX-00038985,CLI-015237,PROD-001923,Bonifacio,Sandalias,Calzado,Trujillo,Mall Aventura,4,435.28,1741.12,369,30,0.69,False,2026-05-13 15:22:30,2026-05-13 15:22:40.006,6
TRX-00051916,2026-05-13 15:22:30.258,EVT-000457,TRX-00051916,CLI-002454,PROD-001823,Maricruz,Sandalias,Calzado,Lima,Real Plaza,3,331.84,995.52,389,29,0.22,False,2026-05-13 15:22:30,2026-05-13 15:22:40.006,6
TRX-00090002,2026-05-13 15:22:30.361,EVT-000458,TRX-00090002,CLI-004483,PROD-001394,Pía,Mochila,Accesorios,Cusco,Mega Plaza,5,612.73,3063.65,159,16,0.69,False,2026-05-13 15:22:30,2026-05-13 15:22:40.006,6
TRX-00049533,2026-05-13 15:22:30.464,EVT-000459,TRX-00049533,CLI-003252,PROD-002510,Rosaura,Correa,Accesorios,Trujillo,Jockey Plaza,4,456.17,1824.68,164,18,0.66,False,2026-05-13 15:22:30,2026-05-13 15:22:40.006,6
TRX-00081954,2026-05-13 15:22:30.567,EVT-000460,TRX-00081954,CLI-002320,PROD-003783,Corona,Polo,Ropa,Piura,Mall Aventura,4,89.33,357.32,326,13,0.12,False,2026-05-13 15:22:30,2026-05-13 15:22:40.006,6
TRX-00017711,2026-05-13 15:22:30.669,EVT-000461,TRX-00017711,CLI-003632,PROD-004530,Mohamed,Silla,Hogar,Lima,Mega Plaza,3,404.69,1214.07,266,15,0.17,False,2026-05-13 15:22:30,2026-05-13 15:22:40.006,6
TRX-00012658,2026-05-13 15:22:30.772,EVT-000462,TRX-00012658,CLI-005545,PROD-001612,Juan José,Bicicleta,Deportes,Trujillo,Mega Plaza,4,507.29,2029.16,154,39,0.61,False,2026-05-13 15:22:30,2026-05-13 15:22:40.006,6
TRX-00081794,2026-05-13 15:22:30.874,EVT-000463,TRX-00081794,CLI-013934,PROD-003641,Natanael,Mesa,Hogar,Piura,Open Plaza,5,254.86,1274.3,442,18,0.42,False,2026-05-13 15:22:30,2026-05-13 15:22:40.006,6
TRX-00020349,2026-05-13 15:22:30.977,EVT-000464,TRX-00020349,CLI-019087,PROD-000100,Ligia,Zapatillas,Calzado,Cusco,Real Plaza,4,84.17,336.68,174,12,0.23,False,2026-05-13 15:22:30,2026-05-13 15:22:40.006,6
TRX-00000260,2026-05-13 15:22:31.083,EVT-000465,TRX-00000260,CLI-017693,PROD-001930,Salomé,Polo,Ropa,Lima,Mega Plaza,3,575.47,1726.41,497,23,0.43,False,2026-05-13 15:22:31,2026-05-13 15:22:40.006,6
TRX-00017775,2026-05-13 15:22:31.185,EVT-000466,TRX-00017775,CLI-010389,PROD-003322,Gervasio,Zapatillas,Calzado,Chiclayo,Jockey Plaza,2,449.26,898.52,237,31,0.07,False,2026-05-13 15:22:31,2026-05-13 15:22:40.006,6
TRX-00076338,2026-05-13 15:22:31.291,EVT-000467,TRX-00076338,CLI-012946,PROD-001955,Pilar,Mochila,Accesorios,Lima,Mall Aventura,4,350.54,1402.16,327,29,0.07,False,2026-05-13 15:22:31,2026-05-13 15:22:40.006,6
TRX-00032176,2026-05-13 15:22:31.393,EVT-000468,TRX-00032176,CLI-013407,PROD-003901,Paloma,Polo,Ropa,Piura,Open Plaza,1,174.52,174.52,336,35,0.29,False,2026-05-13 15:22:31,2026-05-13 15:22:40.006,6
TRX-00048764,2026-05-13 15:22:31.496,EVT-000469,TRX-00048764,CLI-016905,PROD-002637,Marcela,Lámpara,Hogar,Chiclayo,Open Plaza,3,178.88,536.64,467,33,0.44,False,2026-05-13 15:22:31,2026-05-13 15:22:40.006,6
