message_key,kafka_timestamp,event_id,transaction_id,customer_id,product_id,customer_name,product_name,category,city,store,quantity,unit_price,total_amount,stock_actual,stock_minimo,risk_score,is_risk,event_timestamp,processing_timestamp,batch_id
TRX-00071263,2026-05-13 15:22:40.101,EVT-000553,TRX-00071263,CLI-011762,PROD-001686,Roberto,Bicicleta,Deportes,Arequipa,Mall Aventura,1,328.91,328.91,466,37,0.25,False,2026-05-13 15:22:40,2026-05-13 15:22:50.009,7
TRX-00007810,2026-05-13 15:22:40.205,EVT-000554,TRX-00007810,CLI-015804,PROD-004424,Paulino,Mochila,Accesorios,Chiclayo,Real Plaza,3,442.4,1327.2,341,12,0.34,False,2026-05-13 15:22:40,2026-05-13 15:22:50.009,7
TRX-00047363,2026-05-13 15:22:40.309,EVT-000555,TRX-00047363,CLI-010592,PROD-004142,Lorenzo,Sandalias,Calzado,Trujillo,Real Plaza,3,39.85,119.55,466,10,0.2,False,2026-05-13 15:22:40,2026-05-13 15:22:50.009,7
TRX-00034328,2026-05-13 15:22:40.412,EVT-000556,TRX-00034328,CLI-010907,PROD-001151,Mauricio,Silla,Hogar,Chiclayo,Real Plaza,4,172.46,689.84,436,12,0.31,False,2026-05-13 15:22:40,2026-05-13 15:22:50.009,7
TRX-00055103,2026-05-13 15:22:40.515,EVT-000557,TRX-00055103,CLI-017734,PROD-004331,Vera,Mochila,Accesorios,Piura,Open Plaza,2,745.89,1491.78,492,10,0.19,False,2026-05-13 15:22:40,2026-05-13 15:22:50.009,7
TRX-00042620,2026-05-13 15:22:40.618,EVT-000558,TRX-00042620,CLI-008340,PROD-002124,Emiliano,Reloj,Accesorios,Cusco,Mall Aventura,4,155.37,621.48,389,20,0.28,False,2026-05-13 15:22:40,2026-05-13 15:22:50.009,7
TRX-00035365,2026-05-13 15:22:40.721,EVT-000559,TRX-00035365,CLI-001079,PROD-000600,David,Zapatillas,Calzado,Arequipa,Mega Plaza,5,508.84,2544.2,388,10,0.53,False,2026-05-13 15:22:40,2026-05-13 15:22:50.009,7
TRX-00011597,2026-05-13 15:22:40.823,EVT-000560,TRX-00011597,CLI-018435,PROD-004517,Pancho,Mesa,Hogar,Chiclayo,Open Plaza,3,595.09,1785.27,68,10,0.58,False,2026-05-13 15:22:40,2026-05-13 15:22:50.009,7
TRX-00006083,2026-05-13 15:22:40.927,EVT-000561,TRX-00006083,CLI-004196,PROD-002412,Jose Carlos,Polo,Ropa,Lima,Jockey Plaza,2,216.76,433.52,385,25,0.15,False,2026-05-13 15:22:40,2026-05-13 15:22:50.009,7
TRX-00001034,2026-05-13 15:22:41.029,EVT-000562,TRX-00001034,CLI-002600,PROD-000473,Juliana,Polo,Ropa,Cusco,Mall Aventura,4,424.22,1696.88,291,15,0.45,False,2026-05-13 15:22:41,2026-05-13 15:22:50.009,7
TRX-00002320,2026-05-13 15:22:41.133,EVT-000563,TRX-00002320,CLI-004633,PROD-003146,Humberto,Casaca,Ropa,Trujillo,Open Plaza,5,615.51,3077.55,499,10,0.67,False,2026-05-13 15:22:41,2026-05-13 15:22:50.009,7
TRX-00028414,2026-05-13 15:22:41.235,EVT-000564,TRX-00028414,CLI-015214,PROD-004169,Jose,Casaca,Ropa,Piura,Mega Plaza,2,192.42,384.84,168,28,0.44,False,2026-05-13 15:22:41,2026-05-13 15:22:50.009,7
