message_key,kafka_timestamp,event_id,transaction_id,customer_id,product_id,customer_name,product_name,category,city,store,quantity,unit_price,total_amount,stock_actual,stock_minimo,risk_score,is_risk,event_timestamp,processing_timestamp,batch_id
TRX-00067387,2026-05-13 15:22:00.099,EVT-000164,TRX-00067387,CLI-017819,PROD-003216,Isidoro,Lámpara,Hogar,Cusco,Open Plaza,4,767.74,3070.96,31,23,0.61,False,2026-05-13 15:22:00,2026-05-13 15:22:10.006,3
TRX-00094815,2026-05-13 15:22:00.201,EVT-000165,TRX-00094815,CLI-009478,PROD-000739,Eusebia,Guantes,Deportes,Arequipa,Real Plaza,5,341.37,1706.85,94,23,0.42,False,2026-05-13 15:22:00,2026-05-13 15:22:10.006,3
TRX-00001192,2026-05-13 15:22:00.305,EVT-000166,TRX-00001192,CLI-008126,PROD-004514,Nazario,Reloj,Accesorios,Chiclayo,Mall Aventura,4,743.48,2973.92,18,16,0.68,False,2026-05-13 15:22:00,2026-05-13 15:22:10.006,3
TRX-00089362,2026-05-13 15:22:00.407,EVT-000167,TRX-00089362,CLI-019618,PROD-003134,Alba,Mesa,Hogar,Lima,Jockey Plaza,4,416.32,1665.28,195,25,0.59,False,2026-05-13 15:22:00,2026-05-13 15:22:10.006,3
TRX-00046820,2026-05-13 15:22:00.510,EVT-000168,TRX-00046820,CLI-003131,PROD-001033,Dorotea,Mochila,Accesorios,Trujillo,Jockey Plaza,1,450.2,450.2,376,14,0.25,False,2026-05-13 15:22:00,2026-05-13 15:22:10.006,3
TRX-00004907,2026-05-13 15:22:00.616,EVT-000169,TRX-00004907,CLI-000581,PROD-003092,Elvira,Lámpara,Hogar,Lima,Mega Plaza,1,614.49,614.49,216,18,0.25,False,2026-05-13 15:22:00,2026-05-13 15:22:10.006,3
TRX-00043510,2026-05-13 15:22:00.718,EVT-000170,TRX-00043510,CLI-015732,PROD-001039,Elena,Polo,Ropa,Cusco,Real Plaza,2,223.19,446.38,421,37,0.35,False,2026-05-13 15:22:00,2026-05-13 15:22:10.006,3
TRX-00058085,2026-05-13 15:22:00.821,EVT-000171,TRX-00058085,CLI-000123,PROD-003236,Mireia,Zapatillas,Calzado,Chiclayo,Open Plaza,1,787.93,787.93,6,21,0.83,True,2026-05-13 15:22:00,2026-05-13 15:22:10.006,3
TRX-00062832,2026-05-13 15:22:00.924,EVT-000172,TRX-00062832,CLI-009230,PROD-002422,Salvador,Pelota,Deportes,Cusco,Mall Aventura,1,396.47,396.47,394,37,0.42,False,2026-05-13 15:22:00,2026-05-13 15:22:10.006,3
TRX-00032981,2026-05-13 15:22:01.030,EVT-000173,TRX-00032981,CLI-014041,PROD-003940,Macaria,Mesa,Hogar,Lima,Mega Plaza,1,47.28,47.28,201,31,0.18,False,2026-05-13 15:22:01,2026-05-13 15:22:10.006,3
TRX-00082409,2026-05-13 15:22:01.132,EVT-000174,TRX-00082409,CLI-006373,PROD-003702,Vito,Lámpara,Hogar,Chiclayo,Open Plaza,1,195.27,195.27,440,17,0.12,False,2026-05-13 15:22:01,2026-05-13 15:22:10.006,3
